zipcode,low,high,uncertainty
20147,-0.1164021164021164,0.13848631239935588,0.2548884288014723
20874,-0.12637362637362637,0.04411764705882353,0.1704912734324499
20852,-0.1917808219178082,0.05263157894736842,0.24441240086517663
20190,-0.20512820512820512,0.08434959349593496,0.2894777986241401
20171,-0.11,0.07142857142857142,0.18142857142857144
20191,-0.08333333333333333,0.16666666666666666,0.25
20009,-0.35319148936170214,0.018518518518518517,0.3717100078802207
20817,-0.058823529411764705,0.1875,0.24632352941176472
20878,-0.09944751381215469,0.05389221556886228,0.15333972938101698
20774,-0.09574468085106383,0.08571428571428572,0.18145896656534954
20148,-0.07582938388625593,0.13848631239935588,0.2143156962856118
20653,-0.28672985781990523,0.02989821882951654,0.3166280766494218
20886,-0.07006369426751592,0.02878787878787879,0.09885157305539471
20002,-0.1875,0.2087912087912088,0.3962912087912088
20902,-0.07647058823529412,0.04431818181818182,0.12078877005347594
20037,-0.256,0.18170504044803984,0.4377050404480398
20121,-0.08426966292134831,0.25552825552825553,0.33979791844960383
20170,-0.1111111111111111,0.172,0.2831111111111111
20152,-0.021834061135371178,0.12682926829268293,0.1486633294280541
20003,-0.344,0.20212765957446807,0.5461276595744681
20164,-0.06666666666666667,0.20833333333333334,0.275
20879,-0.04428571428571428,0.024875621890547265,0.06916133617626155
20001,-0.28292682926829266,0.07848210435532557,0.36140893362361826
20120,-0.11170212765957446,0.10526315789473684,0.2169652855543113
20165,-0.035897435897435895,0.116751269035533,0.1526487049329689
20850,-0.13145539906103287,0.06382978723404255,0.1952851862950754
20877,-0.18404907975460122,0.08746130030959752,0.27151038006419875
20906,-0.12994350282485875,0.14285714285714285,0.2728006456820016
20744,-0.08974358974358974,0.21052631578947367,0.30026990553306343
20854,-0.104,0.05714285714285714,0.16114285714285714
20876,-0.060109289617486336,0.1323529411764706,0.1924622307939569
20010,-0.2573099415204678,0.12935323383084577,0.38666317535131356
20011,-0.2676056338028169,0.15515515515515516,0.42276078895797203
20785,-0.11888111888111888,0.03225806451612903,0.1511391833972479
20707,-0.23529411764705882,-0.0022172949002217295,0.23307682274683708
20603,-0.07692307692307693,0.11428571428571428,0.1912087912087912
20005,-0.3617021276595745,0.10739949504758206,0.46910162270715655
20007,-0.18660287081339713,0.15489542285541072,0.34149829366880785
20910,-0.23529411764705882,0.024875621890547265,0.2601697395376061
20904,-0.19036287923854847,0.059371362048894066,0.24973424128744254
20772,-0.0851063829787234,0.0958904109589041,0.18099679393762752
20747,-0.1619718309859155,0.11009174311926606,0.27206357410518156
20748,-0.16083916083916083,0.12376613515565679,0.28460529599481765
20743,-0.176056338028169,0.08823529411764706,0.2642916321458161
20109,-0.147239263803681,0.16838279830405814,0.31562206210773913
20155,-0.1152073732718894,0.16838279830405814,0.28359017157594757
20111,-0.050955414012738856,0.16838279830405814,0.219338212316797
20723,-0.17553191489361702,0.15526315789473685,0.33079507278835385
20602,-0.08609271523178808,0.10830527497194165,0.19439799020372972
20601,-0.19959128065395096,-0.021885521885521887,0.17770575876842906
20105,-0.104,0.13848631239935588,0.24248631239935586
20619,-0.28672985781990523,-0.0268640350877193,0.25986582273218595
20019,-0.3591549295774648,0.2556758644778205,0.6148307940552853
20020,-0.3028169014084507,0.013243243243243243,0.3160601446516939
20008,-0.308,0.11547085201793722,0.4234708520179372
20815,-0.17256637168141592,0.024875621890547265,0.19744199357196318
20901,-0.057692307692307696,0.024875621890547265,0.08256792958285496
20721,-0.030802292263610316,0.07317073170731707,0.10397302397092739
20716,-0.06521739130434782,0.0410958904109589,0.10631328171530673
20657,-0.1144578313253012,0.04838709677419355,0.16284492809949475
20036,-0.06701030927835051,0.0856453558504222,0.1526556651287727
20740,-0.18497109826589594,0.17122618466047876,0.3561972829263747
20018,-0.3591549295774648,0.05263157894736842,0.41178650852483323
20816,-0.14411579609817496,0.024875621890547265,0.16899141798872222
20814,-0.18018018018018017,0.11,0.29018018018018016
20735,-0.11538461538461539,0.07692307692307693,0.19230769230769232
20746,-0.1527777777777778,0.1055639097744361,0.2583416875522139
20015,-0.16129032258064516,0.10526315789473684,0.26655348047538197
20017,-0.13380281690140844,-0.001027221366204417,0.13277559553520402
20391,-0.045989904655075714,-0.001027221366204417,0.0449626832888713
20531,-0.045989904655075714,-0.001027221366204417,0.0449626832888713
20539,-0.045989904655075714,-0.001027221366204417,0.0449626832888713
20456,-0.045989904655075714,-0.001027221366204417,0.0449626832888713
20437,-0.045989904655075714,-0.001027221366204417,0.0449626832888713
20590,-0.045989904655075714,-0.001027221366204417,0.0449626832888713
20425,-0.045989904655075714,-0.001027221366204417,0.0449626832888713
20424,-0.045989904655075714,-0.001027221366204417,0.0449626832888713
20581,-0.045989904655075714,-0.001027221366204417,0.0449626832888713
20577,-0.045989904655075714,-0.001027221366204417,0.0449626832888713
20510,-0.11764705882352941,-0.001027221366204417,0.11661983745732499
20408,-0.045989904655075714,-0.001027221366204417,0.0449626832888713
20505,-0.045989904655075714,-0.001027221366204417,0.0449626832888713
20503,-0.045989904655075714,-0.001027221366204417,0.0449626832888713
20242,-0.045989904655075714,-0.001027221366204417,0.0449626832888713
20227,-0.045989904655075714,-0.001027221366204417,0.0449626832888713
20216,-0.045989904655075714,-0.001027221366204417,0.0449626832888713
20208,-0.045989904655075714,-0.001027221366204417,0.0449626832888713
20229,-0.045989904655075714,-0.001027221366204417,0.0449626832888713
20250,-0.045989904655075714,-0.001027221366204417,0.0449626832888713
20376,-0.045989904655075714,-0.001027221366204417,0.0449626832888713
